"","Nest_ID","year","found_day","species","habitat","fws_steel_band.x","eggs_max","fate","fate_day","eggs_hatched","ducklings_min","predator","camera_nest","camera_type","camera_start","camera_end","camera_fate","camera_days","camera_exposure","inc_late","inc_mean","inc_median","inc_early","inc_hatch","inc_firsthatch","found_laying","init_laying","init_mean","init_median","init_hatch","init_firsthatch","found_status","eggs_depredated","eggs_inviable","Species","Fate_video","Fate_Dep_Species_video","Min_Number_Ducklings_video","capture_date","capture_datetime","release_datetime","age","mass","wing_chord","flattened_wing","culmen","nares_distal","nares_proximal","tarsus_total","tarsus_diagonal","head","primary_ninth","transmitter"
"52","10-KEO020",2010,187,"SPEI",NA,"1767-22628",4,"Destroyed",198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,174.6666667,175,173,NA,NA,NA,NA,172.6666667,173,NA,NA,"Active",0,NA,NA,NA,NA,NA,"2010-07-16","2010/07/16 22:04:00","2010/07/16 10:22:00","ASY",1073,NA,NA,26.99,NA,NA,"59.82","47.55",NA,NA,NA
"53","10-KEO021",2010,187,"KIEI",NA,NA,0,"Destroyed",187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Destroyed",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","10-KHM006",2010,174,"LTDU",NA,NA,1,"Destroyed",187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,173,173,172,NA,NA,NA,NA,174,174,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","10-KJB003",2010,169,"SPEI",NA,NA,1,"Destroyed",183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,168,168,167,NA,NA,NA,NA,169,169,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","10-KJB007",2010,172,"SPEI",NA,NA,0,"Destroyed",185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","10-KJB012",2010,176,"SPEI",NA,NA,3,"Destroyed",183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,173.5,173.5,172,NA,NA,NA,NA,172.5,172.5,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","10-KJB013",2010,178,"KIEI",NA,NA,6,"Destroyed",194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,172,172,171,NA,NA,NA,NA,168,168,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","10-KJB014",2010,188,"SPEI",NA,NA,5,"Destroyed",190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,167.5,167.5,167,NA,NA,NA,NA,164.5,164.5,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","10-KJB015",2010,189,"LTDU",NA,NA,0,"Destroyed",189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Destroyed",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","10-KJB017",2010,194,"LTDU",NA,"2406-00634",6,"Hatched",221,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,192.5,192.5,191,NA,NA,"0",NA,188.5,188.5,NA,NA,"Active",0,NA,NA,NA,NA,NA,"2010-07-31","2010/07/31 11:27:00","2010/07/31 11:46:00","ASY",584,NA,NA,27.89,NA,NA,"43.47","33.69",NA,NA,NA
"62","10-LDJ008",2010,188,"LTDU",NA,NA,0,"Destroyed",188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Destroyed",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","10-LDJ009",2010,190,"LTDU",NA,NA,8,"Destroyed",201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,185,185,185,NA,NA,NA,NA,179,179,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","10-LDJ010",2010,190,"LTDU",NA,NA,0,"Destroyed",190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Destroyed",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","10-LDJ012",2010,195,"LTDU",NA,NA,0,"Destroyed",195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Destroyed",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","10-LLS003",2010,169,"SPEI",NA,NA,1,"Destroyed",178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,168,168,167,NA,NA,NA,NA,169,169,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","10-LLS008",2010,172,"KIEI",NA,NA,0,"Destroyed",172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Destroyed",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
